DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,FORM_NAME,FORM_50,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
1,1444,Rimsulfuron,>1000,LC50,Rimsulfuron 25WG,>250,1444_ai_a,1444_form_a,1444_1,1,NA,Earthworm,NA,Herbicide,NA,Acute,Water dispersible granule,YES,NA,2005,NA
2,1439,Glufonisate-ammonium,710,LC50,SL18,1.9,1439_ai_a,1439_form_a,1439_1,1,Oncorhynchus mykiss,Rainbow trout,96,Herbicide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
3,1439,Glufonisate-ammonium,668,EC50,SL14,2.7,1439_ai_b,1439_form_c,1439_2,1,Oncorhynchus mykiss,Rainbow trout,48,Herbicide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
4,1439,Glufonisate-ammonium,668,EC50,SL18,2.5,1439_ai_b,1439_form_d,1439_3,1,Daphnia magna,Water flea,48,Herbicide,NA,Acute,Soluble Concentrate,YES,NA,NA,NA
5,1439,Glufonisate-ammonium,>600,LD50,SL14,46,1439_ai_e,1439_form_f,1439_4,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Soluble Concentrate,YES,NA,NA,NA
6,1439,Glufonisate-ammonium,>600,LD50,SL18,>100,1439_ai_e,1439_form_g,1439_5,1,Apis mellifera,Honeybee,NA,Herbicide,Oral,Acute,Soluble Concentrate,YES,NA,NA,NA
7,1439,Glufonisate-ammonium,>345,LD50,SL14,154,1439_ai_h,1439_form_i,1439_6,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Soluble Concentrate,YES,NA,NA,NA
8,1439,Glufonisate-ammonium,>345,LD50,SL18,>100,1439_ai_h,1439_form_j,1439_7,1,Apis mellifera,Honeybee,NA,Herbicide,Contact,Acute,Soluble Concentrate,YES,NA,NA,NA
9,1439,Glufonisate-ammonium,>1000,LC50,SL14,>150,1439_ai_k,1439_form_l,1439_8,1,NA,Earthworm,336,Herbicide,NA,Acute,Soluble Concentrate,NO,YES,NA,NA
10,1439,Glufonisate-ammonium,>1000,LC50,SL18,>200,1439_ai_k,1439_form_m,1439_9,1,NA,Earthworm,336,Herbicide,NA,Acute,Soluble Concentrate,NO,YES,NA,NA
11,1437,Trifluralin,>5000,LD50,Treflan,>919,1437_ai_a,1437_form_a,1437_1,1,NA,Rat,NA,Herbicide,NA,Acute,Emusifiable Concentrate,YES,NA,NA,NA
