DATA_ID,STUDY_ID,AI_NAME,AI_50,AI_50_TYPE,AI_ERROR_LOWER,AI_ERROR_HIGHER,AI_ERROR_TYPE,AI_N_CONTAINER,AI_N_INDIVIDUALS_PER_CONTAINER,AI_N_STRUCTURE,FORM_NAME,FORM_50,FORM_50_TYPE,FORM_ERROR_LOWER,FORM_ERROR_HIGHER,FORM_ERROR_TYPE,FORM_N_CONTAINER,FORM_N_INDIVIDUALS_PER_CONTAINER,FORM_N_STRUCTURE,CI_METHOD,CONTROL_GROUP,TEST_GROUP,MULTIPLE_MEASUREMENT,MULTIPLE_TYPE,SPECIES_NAME_BINOMIAL,SPECIES_NAME_COMMON,STRAIN_CLONE_SOURCE,SPECIES_CLASS,SPECIES_PHYLUM,SPECIES_KINGDOM,ECOSYSTEM,LIFE_STAGE,EXPOSURE_DURATION_HOURS,PESTICIDE_CLASS,NANO_FORMULATION,BIO_FORMULATION,SEX,EXPOSURE_ROUTE,ACUTE_CHRONIC_TOXICITY,TEMPERATURE_°C,PH,FEEDING_STATE,AGE_TEST_ORGANISM_HOURS,REGULATORY_STANDARDISED_GUIDELINES_FOLLOWED,GUIDELINES,WATER_HARDNESS_mg_L_Ca_CO3,SE_SIMULATION_REQUIRED,FORMULATION_TYPE,FORMULATION_EXPRESSED_IN_AI_CONC,FORMULATION_VALUE_ADJUSTED,YEAR_PUBLISHED,NOTES
1,wos1144,"2,4-Dichlorophenoxyacetic acid",4.118136,LC50,0.071066,0.071066,SE,8,60,"60 eggs/dish, 8 dishes",DMA4®IVM,7.18754,LC50,0.50988,0.50988,SE,8,60,"60 eggs/dish, 8 dishes",three parameter logistic,wos1144_ai_a,wos1144_form_a,wos1144_1,1,Danio rerio,zebrafish,AB wild type,Actinopterygii ,Chordata,Animalia,Aquatic,embryo,504,herbicide,NO,NO,NA,environmental,chronic,28,7.1,NA,4,NO,NA,NA,NO,liquid formulation,YES,NA,2019,NA
2,wos2,fenvalerate,>118,LD50,NA,NA,NA,11,1,11 individuals housed separately,Pydrin 2.4 EC,62,LD50,5,5,CI_95,11,1,"11 individuals, housed separately",probit,wos2_ai_a,wos2_form_a,wos2_1,1,Mus musculus,house mouse,Swiss mice,Mammalia,Chordata,Animalia,Terrestrial,adult,72,insecticide,NO,NO,male,intraperitoneal,acute,21,NA,starved,NA,NO,NA,NA,YES,Emulsifiable concentrate,YES,NA,1989,72h values were extracted where possible. For permetrin 72h all concentrations >50% lethality so a LD50 could not be calculated. 
3,wos2,fenvalerate,163.56,LD50,13.076,13.076,SE,11,1,11 individuals housed separately,Pydrin 2.4 EC,72,LD50,11,10,CI_95,11,1,"11 individuals, housed separately",probit,wos2_ai_b,wos2_form_b,wos2_2,1,Mus musculus,house mouse,Swiss mice,Mammalia,Chordata,Animalia,Terrestrial,adult,72,insecticide,NO,NO,male,oral-gavage,acute,21,NA,starved,NA,NO,NA,NA,NO,Emulsifiable concentrate,YES,NA,1989,there were only two doses for the ai. So the LD50 is simply the geometric mean of the two dose values. The model fitted is too complex and therefore overfitting. It does show that the one of the ai formulation is more toxic than the other though.
4,wos2,permethrin,>2321,LD50,NA,NA,NA,11,1,11 individuals housed separately,Ambush,429,LD50,48,165,CI_95,9,1,"9 individuals, housed separately",probit,wos2_ai_c,wos2_form_c,wos2_3,1,Mus musculus,house mouse,Swiss mice,Mammalia,Chordata,Animalia,Terrestrial,adult,72,insecticide,NO,NO,male,intraperitoneal,acute,21,NA,starved,NA,NO,NA,NA,YES,Emulsifiable concentrate,YES,NA,1989,72h values were extracted where possible. For permetrin 72h all concentrations >50% lethality so a LD50 could not be calculated. 
5,wos1144,"2,4-Dichlorophenoxyacetic acid",4.277,LC50,0.149,0.149,SE,16,60,"60 eggs/dish, 16 dishes",DMA4®IVM,14.4147,LC50,0.2221,0.2221,SE,12,60,"60 eggs/dish, 12 dishes",three parameter logistic,wos1144_ai_b,wos1144_form_b,wos1144_2,1,Danio rerio,zebrafish,AB wild type,Actinopterygii ,Chordata,Animalia,Aquatic,embryo,144,herbicide,NO,NO,NA,environmental,chronic,28,7.1,NA,4,NO,NA,NA,NO,liquid formulation,YES,NA,2019,NA
6,wos1303,glyphosate,>50,LC50,NA,NA,NA,3,50,"50 embryos/dish, 3 dishes",Roundup® Power 2.0,24.78,LC50,0.24,0.26,CI_95,3,50,"50 embryos/dish, 3 dishes",probit,wos1303_ai_a,wos1303_form_a,wos1303_1,1,Xenopus laevis,african clawed frog,Centre de Ressources Biologiques Xénopes,Amphibia,Chordata,Animalia,Aquatic,embryo,96,herbicide,NO,NO,NA,environmental,acute,23,7,NA,5,YES,NA,NA,YES,soluble concentrate,YES,NA,2018,NA
7,wos28,diuron,7436.4,EC50,697.6,697.5,CI_95,10,4,"10 tests, with 4 replicates in each",Nortox® 500 SC,1029.8,EC50,64.7,64.6,CI_95,10,4,"10 tests, with 4 replicates in each",three parameter logistic,wos28_ai_a,wos28_form_a,wos28_1,1,Ceriodaphnia silvestrii,NA,Lobo-Broa Reservoir,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,4,herbicide,NO,NO,NA,environmental,acute,25,7.3,fed,15,YES,NA,44,NO,Aqueous suspension concentrates,YES,NA,2018,NA
8,wos28,carbofuran,0.86,EC50,0.1,0.09,CI_95,10,4,"10 tests, with 4 replicates in each",Furadan® 350 SC,1.31,EC50,0.12,0.12,CI_95,10,4,"10 tests, with 4 replicates in each",three parameter logistic,wos28_ai_b,wos28_form_b,wos28_2,1,Ceriodaphnia silvestrii,NA,Lobo-Broa Reservoir,Branchiopoda,Arthropoda,Animalia,Aquatic,neonate,4,insecticide,NO,NO,NA,environmental,acute,25,7.3,fed,15,YES,NA,44,NO,Aqueous suspension concentrates,YES,NA,2018,NA
9,wos1286,glyphosate-IPA,5.9,EC50,1.9,2.7,CI_95,3,50,50-100 per vessel,Roundup Ultramax,3,EC50,0.8,1.3,CI_95,3,50,50-100 per vessel,trimmed spearman–karber,wos1286_ai_a,wos1286_form_a,wos1286_1,1,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,24,herbicide,NO,NO,NA,environmental,acute,21.45,8.49,NA,NA,YES,NA,164,NO,soluble concentrate,YES,NA,2007,"for multiple_measurement - 24-48h were the same for each life stage, 96h juvenile acute was standalone, then 7-28d were multiple measurements."
10,wos1286,glyphosate-IPA,5,EC50,1.7,2.6,CI_95,3,50,50-100 per vessel,Roundup Ultramax,2.9,EC50,0.8,1,CI_95,3,50,50-100 per vessel,trimmed spearman–karber,wos1286_ai_a,wos1286_form_a,wos1286_1,1,Lampsilis siliquoidea,fat muckets,Silver Fork of Perche Creek,Bivalvia,Mollusca,Animalia,Aquatic,glochidia,48,herbicide,NO,NO,NA,environmental,acute,21.45,8.49,NA,NA,YES,NA,164,NO,soluble concentrate,YES,NA,2007,NA
